细胞类型,celltype,亚群,subtype,markers
脂肪细胞,Adipocytes,脂肪细胞,Adipocytes,"Gpam, Fasn, Lep"
基底细胞,Basal Cells,基底细胞,Basal Cells,"Trp63, Krt5, Cd44, Krt14"
软骨细胞,Chondrocytes,纤维软骨细胞祖细胞,Fibrocartilage Progenitor Cells,"Mylk, Col3a1"
软骨细胞,Chondrocytes,纤维软骨细胞,Fibrochondrocytes,"Prg4, Anxa8"
软骨细胞,Chondrocytes,软骨细胞,Chondrocytes,"Comp, Fn1"
内皮细胞,Endothelial Cells,主动脉内皮细胞,Aortic Endothelial Cells,"Ehd3, Tek, Esm1"
内皮细胞,Endothelial Cells,动脉内皮细胞,Artery Endothelial Cells,"Efnb2, Sox17, Bmx, Sema3g, Hey1, Ltpb4, Fbln5, Gja5, Gja4"
内皮细胞,Endothelial Cells,内皮细胞,Endothelial Cells,"Vwf, Pecam1, Cdh5, Adgrf5, Kdr, Emcn, Sparc"
内皮细胞,Endothelial Cells,淋巴内皮细胞,Lymphatic Endothelial Cells,"Prox1, Pdpn, Ccl21a, Lyve1, Foxc2"
内皮细胞,Endothelial Cells,血管内皮细胞,Vascular Endothelial Cells,"Fabp4, Cdh5, Cav1, Eng, Flt1"
上皮细胞,Epithelial Cells,管腔上皮细胞,Luminal Epithelial Cells,"Krt8, Krt18"
上皮细胞,Epithelial Cells,上皮细胞,Epithelial Cells,"Krt14, Epcam, Cdh1, Cd24, Muc1, Krt3, Anpep"
上皮细胞,Epithelial Cells,角质上皮细胞,Keratinocytes,"Krt10, Ccl2, Dmkn, Plec"
成纤维细胞,Fibroblast,成纤维细胞,Fibroblast,"Dcn, Gsn, Pdgfra, Col1a1, Col1a2, Col3a1, Tcf21, Ddr2, Fbln1"
成纤维细胞,Fibroblast,肌成纤维细胞,Myofibroblast,"C7, Lum, Mmp2"
免疫细胞,Immune Cells,巨噬细胞/单核细胞,Macrophages/Monocytes,"Timd4, Cd5l, Serpinb2, Fcgr1, Cd14, Ptprc, Selplg, Adgre1, Csf1r, Trem2, Msr1"
免疫细胞,Immune Cells,T细胞,T Cells,"Cd3g, Cd3e, Cd4, Cd8a, Klrd1"
免疫细胞,Immune Cells,B细胞,B Cells,"Ms4a1, Cd19, Cd79a, Ly6d, Cd79b, H2-DMb2"
免疫细胞,Immune Cells,NK细胞,NK Cells,"Ncr1, Klrb1a, Klrk1, Gzmb, Prf1"
免疫细胞,Immune Cells,中性粒细胞,Neutrophils,"Cd177, Cxcr2, Ly6g, S100a8, S100a9"
免疫细胞,Immune Cells,抗原呈递细胞,Antigen Presenting Cells,"Ptprc, H2-Eb1, Cd86"
免疫细胞,Immune Cells,淋巴细胞,Lymphoid,"Cd8a, Il7r, Cd40lg, Rag1"
免疫细胞,Immune Cells,髓系细胞,Myeloid,"Cd14, C1qa, Cd68"
免疫细胞,Immune Cells,树突状细胞,Dendritic Cells,"Cd209a, Siglech, Clec9a, Flt3"
免疫细胞,Immune Cells,肥大细胞,Mast Cells,"Fcer1a, Ms4a2, Cpa3, Mcpt8"
免疫细胞,Immune Cells,浆细胞,Plasma,"Sdc1, Prdm1, Xbp1, Tnfrsf17"
间皮细胞,Mesothelial,间皮细胞,Mesothelial,"Msln, Wt1, Bnc1, Lrrn4"
神经元细胞,Neuronal,神经元细胞,Neuronal,"Plp1, Nrxn1, Nrxn3, Gfra3, Kcna1"
周细胞,Pericytes,周细胞,Pericytes,"Rgs5, Abcc9, Kcnj8, Pdgfrb, P2ry14"
增殖细胞,Proliferating Cells,增殖细胞,Proliferating Cells,"Mki67, Pcna, S100a14, Sox2, Aqp3"
施万细胞,Schwann Cells,施万细胞,Schwann Cells,"Plp1, Cnp, Cadm4"
平滑肌细胞,Smooth Muscle Cells,平滑肌细胞,Smooth Muscle Cells,"Acta2, Myh11, Tagln, Acan, Lmod1, Cnn1"
